ticker,name,sector,market,type,source,etf
^GSPC,S&P 500,,US,index,manual,
^FCHI,CAC 40,,FR,index,manual,
^FTSE,FTSE 100,,UK,index,manual,
^N225,Nikkei 225,,JP,index,manual,
^BSESN,Sensex,,IN,index,manual,
AAPL,APPLE INC,Technology,US,stock,spdr,XLK
NVDA,NVIDIA CORP,Technology,US,stock,spdr,XLK
MSFT,MICROSOFT CORP,Technology,US,stock,spdr,XLK
AVGO,BROADCOM INC,Technology,US,stock,spdr,XLK
AMD,ADVANCED MICRO DEVICES,Technology,US,stock,spdr,XLK
JPM,JPMORGAN CHASE + CO,Financial,US,stock,spdr,XLF
V,VISA INC CLASS A SHARES,Financial,US,stock,spdr,XLF
MA,MASTERCARD INC   A,Financial,US,stock,spdr,XLF
BAC,BANK OF AMERICA CORP,Financial,US,stock,spdr,XLF
GS,GOLDMAN SACHS GROUP INC,Financial,US,stock,spdr,XLF
LLY,ELI LILLY + CO,Healthcare,US,stock,spdr,XLV
JNJ,JOHNSON + JOHNSON,Healthcare,US,stock,spdr,XLV
ABBV,ABBVIE INC,Healthcare,US,stock,spdr,XLV
UNH,UNITEDHEALTH GROUP INC,Healthcare,US,stock,spdr,XLV
MRK,MERCK + CO. INC.,Healthcare,US,stock,spdr,XLV
AMZN,AMAZON.COM INC,Consumer,US,stock,spdr,XLY
TSLA,TESLA INC,Consumer,US,stock,spdr,XLY
HD,HOME DEPOT INC,Consumer,US,stock,spdr,XLY
TJX,TJX COMPANIES INC,Consumer,US,stock,spdr,XLY
MCD,MCDONALD S CORP,Consumer,US,stock,spdr,XLY
XOM,EXXONMOBIL HOLDINGS CORP,Energy,US,stock,spdr,XLE
CVX,CHEVRON CORP,Energy,US,stock,spdr,XLE
COP,CONOCOPHILLIPS,Energy,US,stock,spdr,XLE
MPC,MARATHON PETROLEUM CORP,Energy,US,stock,spdr,XLE
PSX,PHILLIPS 66,Energy,US,stock,spdr,XLE
